entidad,id,etiqueta,año,de_quien_habla,campo,valor,afirma,nivel,enlace,estado,detalle
carroza,1908-la-argentina-x-1,escalante_1908_argentina,1908,La Argentina,esta foto es de esta carroza,batalla_de_flores/fotos/archivo/519-argentina-519.jpg,batalladeflores.net (biblioteca de medios),2,https://www.batalladeflores.net/wp-content/uploads/1908/08/1908LaArgentina.jpg,deducción nuestra,"el fichero se subió como «1908laargentina», que lleva el año y el nombre de esta carroza"
carroza,1909-el-repollo-a-1,cesar-alba_1909_repollo,1909,El repollo,título de la carroza,El repollo,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1909/,publicado,
carroza,1909-el-repollo-a-1,cesar-alba_1909_repollo,1909,El repollo,puesto en el palmarés,1,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1909/,publicado,
carroza,1909-el-repollo-a-1,cesar-alba_1909_repollo,1909,El repollo,categoría,A,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1909/,retirada por nosotros,las categorías A y B no existían en 1909: nacen con el reglamento municipal de 2011
carroza,1909-el-repollo-a-1,cesar-alba_1909_repollo,1909,El repollo,"grupo, tal y como lo escribe la fuente",Nicolás Gereda y César Alba,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1909/,publicado,
carroza,1909-el-repollo-a-1,cesar-alba_1909_repollo,1909,El repollo,"grupo, en nuestra forma unificada",Nicolás Gereda y César Alba,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1909/,publicado,
carroza,1909-un-landeau-a-2,avendano_1909_landeau,1909,Un landeau,título de la carroza,Un landeau,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1909/,publicado,
carroza,1909-un-landeau-a-2,avendano_1909_landeau,1909,Un landeau,puesto en el palmarés,2,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1909/,publicado,
carroza,1909-un-landeau-a-2,avendano_1909_landeau,1909,Un landeau,categoría,A,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1909/,retirada por nosotros,las categorías A y B no existían en 1909: nacen con el reglamento municipal de 2011
carroza,1909-un-landeau-a-2,avendano_1909_landeau,1909,Un landeau,"grupo, tal y como lo escribe la fuente",Eduardo Retola Avendaño,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1909/,publicado,
carroza,1909-un-landeau-a-2,avendano_1909_landeau,1909,Un landeau,"grupo, en nuestra forma unificada",Eduardo Retola Avendaño,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1909/,publicado,
carroza,1909-las-segadoras-x-na,cesar-alba_1909_segadoras,1909,Las Segadoras,título de la carroza,Las Segadoras,Ficha de carroza en batalladeflores.net,1,https://www.batalladeflores.net/las-segadoras/,publicado,
carroza,1909-las-segadoras-x-na,cesar-alba_1909_segadoras,1909,Las Segadoras,"grupo, tal y como lo escribe la fuente",Nicolás Gereda y César Alba,Ficha de carroza en batalladeflores.net,1,https://www.batalladeflores.net/las-segadoras/,publicado,
carroza,1909-las-segadoras-x-na,cesar-alba_1909_segadoras,1909,Las Segadoras,"grupo, en nuestra forma unificada",Nicolás Gereda y César Alba,Ficha de carroza en batalladeflores.net,1,https://www.batalladeflores.net/las-segadoras/,publicado,
carroza,1909-las-segadoras-x-na,cesar-alba_1909_segadoras,1909,Las Segadoras,esta foto es de esta carroza,batalla_de_flores/fotos/archivo/2339-ssegadoras-2339.jpg,batalladeflores.net,1,https://www.batalladeflores.net/wp-content/uploads/2013/08/1909lassegadoras.jpg,publicado,publicada en la ficha de esta carroza en batalladeflores.net
carroza,1909-una-cesta-x-na,escalante_1909_cesta,1909,Una Cesta,título de la carroza,Una Cesta,Ficha de carroza en batalladeflores.net,1,https://www.batalladeflores.net/una-cesta/,publicado,
carroza,1909-una-cesta-x-na,escalante_1909_cesta,1909,Una Cesta,"grupo, tal y como lo escribe la fuente",Nicasio Escalante,Ficha de carroza en batalladeflores.net,1,https://www.batalladeflores.net/una-cesta/,publicado,
carroza,1909-una-cesta-x-na,escalante_1909_cesta,1909,Una Cesta,"grupo, en nuestra forma unificada",Nicasio Escalante,Ficha de carroza en batalladeflores.net,1,https://www.batalladeflores.net/una-cesta/,publicado,
carroza,1909-una-cesta-x-na,escalante_1909_cesta,1909,Una Cesta,esta foto es de esta carroza,batalla_de_flores/fotos/archivo/2599-acesta-2599.jpg,batalladeflores.net,1,https://www.batalladeflores.net/wp-content/uploads/2013/08/1909una_cesta.jpg,publicado,publicada en la ficha de esta carroza en batalladeflores.net
carroza,1910-landeau-a-1,zarauz-mazarrasa_1910_landeau,1910,Landeau,título de la carroza,Landeau,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1910/,publicado,
carroza,1910-landeau-a-1,zarauz-mazarrasa_1910_landeau,1910,Landeau,puesto en el palmarés,1,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1910/,publicado,
carroza,1910-landeau-a-1,zarauz-mazarrasa_1910_landeau,1910,Landeau,categoría,A,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1910/,retirada por nosotros,las categorías A y B no existían en 1910: nacen con el reglamento municipal de 2011
carroza,1910-landeau-a-1,zarauz-mazarrasa_1910_landeau,1910,Landeau,"grupo, tal y como lo escribe la fuente",Zarauz y Mazarrasa,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1910/,publicado,
carroza,1910-landeau-a-1,zarauz-mazarrasa_1910_landeau,1910,Landeau,"grupo, en nuestra forma unificada",Zarauz y Mazarrasa,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1910/,publicado,
carroza,1910-corbeille-a-2,naveda_1910_corbeille,1910,Corbeille,título de la carroza,Corbeille,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1910/,publicado,
carroza,1910-corbeille-a-2,naveda_1910_corbeille,1910,Corbeille,puesto en el palmarés,2,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1910/,publicado,
carroza,1910-corbeille-a-2,naveda_1910_corbeille,1910,Corbeille,categoría,A,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1910/,retirada por nosotros,las categorías A y B no existían en 1910: nacen con el reglamento municipal de 2011
carroza,1910-corbeille-a-2,naveda_1910_corbeille,1910,Corbeille,"grupo, tal y como lo escribe la fuente",Gereda y Naveda,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1910/,publicado,
carroza,1910-corbeille-a-2,naveda_1910_corbeille,1910,Corbeille,"grupo, en nuestra forma unificada",Gereda y Naveda,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1910/,publicado,
carroza,1910-cesta-de-flores-a-3,portilla-lopez_1910_cesta,1910,Cesta de Flores,título de la carroza,Cesta de Flores,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1910/,publicado,
carroza,1910-cesta-de-flores-a-3,portilla-lopez_1910_cesta,1910,Cesta de Flores,puesto en el palmarés,3,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1910/,publicado,
carroza,1910-cesta-de-flores-a-3,portilla-lopez_1910_cesta,1910,Cesta de Flores,categoría,A,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1910/,retirada por nosotros,las categorías A y B no existían en 1910: nacen con el reglamento municipal de 2011
carroza,1910-cesta-de-flores-a-3,portilla-lopez_1910_cesta,1910,Cesta de Flores,"grupo, tal y como lo escribe la fuente","Avendaño, Portilla y López",Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1910/,publicado,
carroza,1910-cesta-de-flores-a-3,portilla-lopez_1910_cesta,1910,Cesta de Flores,"grupo, en nuestra forma unificada","Avendaño, Portilla y López",Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1910/,publicado,
carroza,1911-una-cabana-nevada-a-1,gutierrez-gonzalez_1911_cabana-nevada,1911,Una cabaña nevada,título de la carroza,Una cabaña nevada,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1911/,publicado,
carroza,1911-una-cabana-nevada-a-1,gutierrez-gonzalez_1911_cabana-nevada,1911,Una cabaña nevada,puesto en el palmarés,1,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1911/,publicado,
carroza,1911-una-cabana-nevada-a-1,gutierrez-gonzalez_1911_cabana-nevada,1911,Una cabaña nevada,categoría,A,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1911/,retirada por nosotros,las categorías A y B no existían en 1911: nacen con el reglamento municipal de 2011
carroza,1911-una-cabana-nevada-a-1,gutierrez-gonzalez_1911_cabana-nevada,1911,Una cabaña nevada,"grupo, tal y como lo escribe la fuente","Montes, Ron, Gutiérrez y González",Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1911/,publicado,
carroza,1911-una-cabana-nevada-a-1,gutierrez-gonzalez_1911_cabana-nevada,1911,Una cabaña nevada,"grupo, en nuestra forma unificada","Montes, Ron, Gutiérrez y González",Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1911/,publicado,
carroza,1911-coche-engalanado-a-2,sanz_1911_coche-engalanado,1911,Coche engalanado,título de la carroza,Coche engalanado,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1911/,publicado,
carroza,1911-coche-engalanado-a-2,sanz_1911_coche-engalanado,1911,Coche engalanado,puesto en el palmarés,2,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1911/,publicado,
carroza,1911-coche-engalanado-a-2,sanz_1911_coche-engalanado,1911,Coche engalanado,puesto en el palmarés,3,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1911/,descartado,otra fuente dice otra cosa y se muestra la suya
carroza,1911-coche-engalanado-a-2,sanz_1911_coche-engalanado,1911,Coche engalanado,categoría,A,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1911/,retirada por nosotros,las categorías A y B no existían en 1911: nacen con el reglamento municipal de 2011
carroza,1911-coche-engalanado-a-2,sanz_1911_coche-engalanado,1911,Coche engalanado,"grupo, tal y como lo escribe la fuente",Luis Sanz,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1911/,publicado,
carroza,1911-coche-engalanado-a-2,sanz_1911_coche-engalanado,1911,Coche engalanado,"grupo, tal y como lo escribe la fuente",Carlos Federico Vaz,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1911/,descartado,otra fuente dice otra cosa y se muestra la suya
carroza,1911-coche-engalanado-a-2,sanz_1911_coche-engalanado,1911,Coche engalanado,"grupo, en nuestra forma unificada",Luis Sanz,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1911/,publicado,
carroza,1912-mariposa-libando-en-jardin-de-flores-a-1,gregorio-mazarrasa_1912_mariposa-libando-jardin,1912,Mariposa libando en jardín de flores,título de la carroza,Mariposa libando en jardín de flores,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1912/,publicado,
carroza,1912-mariposa-libando-en-jardin-de-flores-a-1,gregorio-mazarrasa_1912_mariposa-libando-jardin,1912,Mariposa libando en jardín de flores,puesto en el palmarés,1,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1912/,publicado,
carroza,1912-mariposa-libando-en-jardin-de-flores-a-1,gregorio-mazarrasa_1912_mariposa-libando-jardin,1912,Mariposa libando en jardín de flores,categoría,A,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1912/,retirada por nosotros,las categorías A y B no existían en 1912: nacen con el reglamento municipal de 2011
carroza,1912-mariposa-libando-en-jardin-de-flores-a-1,gregorio-mazarrasa_1912_mariposa-libando-jardin,1912,Mariposa libando en jardín de flores,"grupo, tal y como lo escribe la fuente",Gregorio Mazarrasa,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1912/,publicado,
carroza,1912-mariposa-libando-en-jardin-de-flores-a-1,gregorio-mazarrasa_1912_mariposa-libando-jardin,1912,Mariposa libando en jardín de flores,"grupo, en nuestra forma unificada",Gregorio Mazarrasa,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1912/,publicado,
carroza,1912-cesta-a-2,durante_1912_cesta,1912,Cesta,título de la carroza,Cesta,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1912/,publicado,
carroza,1912-cesta-a-2,durante_1912_cesta,1912,Cesta,puesto en el palmarés,2,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1912/,publicado,
carroza,1912-cesta-a-2,durante_1912_cesta,1912,Cesta,categoría,A,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1912/,retirada por nosotros,las categorías A y B no existían en 1912: nacen con el reglamento municipal de 2011
carroza,1912-cesta-a-2,durante_1912_cesta,1912,Cesta,"grupo, tal y como lo escribe la fuente",Eduardo Durante,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1912/,publicado,
carroza,1912-cesta-a-2,durante_1912_cesta,1912,Cesta,"grupo, en nuestra forma unificada",Eduardo Durante,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1912/,publicado,
carroza,1912-mariposa-y-gasas-a-3,viuda-canedo_1912_mariposa-gasas,1912,Mariposa y gasas,título de la carroza,Mariposa y gasas,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1912/,publicado,
carroza,1912-mariposa-y-gasas-a-3,viuda-canedo_1912_mariposa-gasas,1912,Mariposa y gasas,puesto en el palmarés,3,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1912/,publicado,
carroza,1912-mariposa-y-gasas-a-3,viuda-canedo_1912_mariposa-gasas,1912,Mariposa y gasas,categoría,A,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1912/,retirada por nosotros,las categorías A y B no existían en 1912: nacen con el reglamento municipal de 2011
carroza,1912-mariposa-y-gasas-a-3,viuda-canedo_1912_mariposa-gasas,1912,Mariposa y gasas,"grupo, tal y como lo escribe la fuente",Viuda de Cañedo,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1912/,publicado,
carroza,1912-mariposa-y-gasas-a-3,viuda-canedo_1912_mariposa-gasas,1912,Mariposa y gasas,"grupo, en nuestra forma unificada",Viuda de Cañedo,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1912/,publicado,
carroza,1912-arte-japones-x-na,mariano-garcia_1912_arte-japones,1912,Arte Japonés,título de la carroza,Arte Japonés,Ficha de carroza en batalladeflores.net,1,https://www.batalladeflores.net/arte-japones/,publicado,
carroza,1912-arte-japones-x-na,mariano-garcia_1912_arte-japones,1912,Arte Japonés,"grupo, tal y como lo escribe la fuente",Mariano García,Ficha de carroza en batalladeflores.net,1,https://www.batalladeflores.net/arte-japones/,publicado,
carroza,1912-arte-japones-x-na,mariano-garcia_1912_arte-japones,1912,Arte Japonés,"grupo, en nuestra forma unificada",Mariano García,Ficha de carroza en batalladeflores.net,1,https://www.batalladeflores.net/arte-japones/,publicado,
carroza,1912-arte-japones-x-na,mariano-garcia_1912_arte-japones,1912,Arte Japonés,esta foto es de esta carroza,batalla_de_flores/fotos/archivo/2333-artejapones-2333.jpg,batalladeflores.net,1,https://www.batalladeflores.net/wp-content/uploads/2013/08/1912artejapones.jpg,publicado,publicada en la ficha de esta carroza en batalladeflores.net
carroza,1912-pandereta-x-na,pepe-martinez_1912_pandereta,1912,Pandereta,título de la carroza,Pandereta,Ficha de carroza en batalladeflores.net,1,https://www.batalladeflores.net/pandereta/,publicado,
carroza,1912-pandereta-x-na,pepe-martinez_1912_pandereta,1912,Pandereta,"grupo, tal y como lo escribe la fuente",Pepe Martínez,Ficha de carroza en batalladeflores.net,1,https://www.batalladeflores.net/pandereta/,publicado,
carroza,1912-pandereta-x-na,pepe-martinez_1912_pandereta,1912,Pandereta,"grupo, en nuestra forma unificada",Pepe Martínez,Ficha de carroza en batalladeflores.net,1,https://www.batalladeflores.net/pandereta/,publicado,
carroza,1912-pandereta-x-na,pepe-martinez_1912_pandereta,1912,Pandereta,esta foto es de esta carroza,batalla_de_flores/fotos/archivo/2395-pandereta-2395.jpg,batalladeflores.net,1,https://www.batalladeflores.net/wp-content/uploads/2013/08/1912pandereta.jpg,publicado,publicada en la ficha de esta carroza en batalladeflores.net
carroza,1913-conchas-y-perlas-a-1,bustillo_1913_conchas-perlas,1913,Conchas y perlas,título de la carroza,Conchas y perlas,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1913/,publicado,
carroza,1913-conchas-y-perlas-a-1,bustillo_1913_conchas-perlas,1913,Conchas y perlas,puesto en el palmarés,1,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1913/,publicado,
carroza,1913-conchas-y-perlas-a-1,bustillo_1913_conchas-perlas,1913,Conchas y perlas,categoría,A,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1913/,retirada por nosotros,las categorías A y B no existían en 1913: nacen con el reglamento municipal de 2011
carroza,1913-conchas-y-perlas-a-1,bustillo_1913_conchas-perlas,1913,Conchas y perlas,"grupo, tal y como lo escribe la fuente",Valentín Bustillo,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1913/,publicado,
carroza,1913-conchas-y-perlas-a-1,bustillo_1913_conchas-perlas,1913,Conchas y perlas,"grupo, en nuestra forma unificada",Valentín Bustillo,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1913/,publicado,
carroza,1913-el-cuerno-de-la-abundancia-a-2,marcelino-rodriguez_1913_cuerno-abundancia,1913,El Cuerno de la Abundancia,título de la carroza,El Cuerno de la Abundancia,Palmarés de batalladeflores.net,1,http://batalladeflores.net/el-cuerno-de-la-abundancia/,publicado,
carroza,1913-el-cuerno-de-la-abundancia-a-2,marcelino-rodriguez_1913_cuerno-abundancia,1913,El Cuerno de la Abundancia,puesto en el palmarés,2,Palmarés de batalladeflores.net,1,http://batalladeflores.net/el-cuerno-de-la-abundancia/,publicado,
carroza,1913-el-cuerno-de-la-abundancia-a-2,marcelino-rodriguez_1913_cuerno-abundancia,1913,El Cuerno de la Abundancia,puesto en el palmarés,2,Ficha de carroza en batalladeflores.net,1,https://www.batalladeflores.net/el-cuerno-de-la-abundancia/,publicado,
carroza,1913-el-cuerno-de-la-abundancia-a-2,marcelino-rodriguez_1913_cuerno-abundancia,1913,El Cuerno de la Abundancia,categoría,A,Palmarés de batalladeflores.net,1,http://batalladeflores.net/el-cuerno-de-la-abundancia/,retirada por nosotros,las categorías A y B no existían en 1913: nacen con el reglamento municipal de 2011
carroza,1913-el-cuerno-de-la-abundancia-a-2,marcelino-rodriguez_1913_cuerno-abundancia,1913,El Cuerno de la Abundancia,"grupo, tal y como lo escribe la fuente",Marcelino Rodríguez,Palmarés de batalladeflores.net,1,http://batalladeflores.net/el-cuerno-de-la-abundancia/,publicado,
carroza,1913-el-cuerno-de-la-abundancia-a-2,marcelino-rodriguez_1913_cuerno-abundancia,1913,El Cuerno de la Abundancia,"grupo, tal y como lo escribe la fuente",Marcelino Rodríguez,Ficha de carroza en batalladeflores.net,1,https://www.batalladeflores.net/el-cuerno-de-la-abundancia/,publicado,
carroza,1913-el-cuerno-de-la-abundancia-a-2,marcelino-rodriguez_1913_cuerno-abundancia,1913,El Cuerno de la Abundancia,"grupo, en nuestra forma unificada",Marcelino Rodríguez,Palmarés de batalladeflores.net,1,http://batalladeflores.net/el-cuerno-de-la-abundancia/,publicado,
carroza,1913-el-cuerno-de-la-abundancia-a-2,marcelino-rodriguez_1913_cuerno-abundancia,1913,El Cuerno de la Abundancia,"grupo, en nuestra forma unificada",Marcelino Rodríguez,Ficha de carroza en batalladeflores.net,1,https://www.batalladeflores.net/el-cuerno-de-la-abundancia/,publicado,
carroza,1913-el-cuerno-de-la-abundancia-a-2,marcelino-rodriguez_1913_cuerno-abundancia,1913,El Cuerno de la Abundancia,esta foto es de esta carroza,batalla_de_flores/fotos/archivo/2314-cuernodelaabundancia-2314.jpg,batalladeflores.net,1,https://www.batalladeflores.net/wp-content/uploads/2013/08/1913elcuernodelaabundancia2p.jpg,publicado,publicada en la ficha de esta carroza en batalladeflores.net
carroza,1913-atributos-de-los-exploradores-de-espana-a-3,francisco-rodriguez_1913_atributos-exploradores-espana,1913,Atributos de los exploradores de España,título de la carroza,Atributos de los exploradores de España,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1913/,publicado,
carroza,1913-atributos-de-los-exploradores-de-espana-a-3,francisco-rodriguez_1913_atributos-exploradores-espana,1913,Atributos de los exploradores de España,puesto en el palmarés,3,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1913/,publicado,
carroza,1913-atributos-de-los-exploradores-de-espana-a-3,francisco-rodriguez_1913_atributos-exploradores-espana,1913,Atributos de los exploradores de España,categoría,A,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1913/,retirada por nosotros,las categorías A y B no existían en 1913: nacen con el reglamento municipal de 2011
carroza,1913-atributos-de-los-exploradores-de-espana-a-3,francisco-rodriguez_1913_atributos-exploradores-espana,1913,Atributos de los exploradores de España,"grupo, tal y como lo escribe la fuente",Francisco Rodríguez,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1913/,publicado,
carroza,1913-atributos-de-los-exploradores-de-espana-a-3,francisco-rodriguez_1913_atributos-exploradores-espana,1913,Atributos de los exploradores de España,"grupo, en nuestra forma unificada",Francisco Rodríguez,Palmarés de batalladeflores.net,1,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1913/,publicado,
carroza,1913-carroza-de-marcelino-rodriguez-x-na,marcelino-rodriguez_1913_marcelino-rodriguez,1913,Carroza de Marcelino Rodríguez,título de la carroza,Carroza de Marcelino Rodríguez,Prensa de la época,2,https://www.batalladeflores.net/wp-content/uploads/2013/11/19130924_mundografico.jpg,publicado,
